"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","gas使用测试","6","0","置换测试","0"
"0","","0","gas使用测试","5","0","批量使用","0"
"0","","0","转账FLON 测试","13","0","","0"
"0","","0","gas使用测试","7","0","使用gas","0"
"0","","0","gas 使用边界值测试","2","0","使用net","0"
"0","","0","多action资源消耗计算","6","0","","0"
"0","","0","gas 使用边界值测试","2","0","使用gas","0"
"0","","0","gas 使用边界值测试","9","0","FLON置换gas边界值测试","0"
"0","","0","gas 使用边界值测试","5","0","使用ram","0"
"0","","0","cpu 限制测试","1","0","","0"
"0","","0","setalimits","3","0","","0"
"0","","0","gas使用测试","8","0","同时添加和删除","0"
"0","","0","gas消耗计算","4","0","","0"
"0","","0","gas使用测试","6","0","多用户添加&删除","0"
"0","","0","buygas","1","0","fundgas","0"
"0","","0","gas使用测试","4","0","退还gas","0"
"0","","0","buygas","1","0","buygas","0"
"0","","0","buygas","1","0","buygasself","0"
